ELE_ID;ELE_COD1;ELE_COD2;ELE_CODAUXILIAR;ELE_DESCRIPCION;ELE_FECHA_ALTA;ELE_FECHA_BAJA;ELE_ICO_ID;ELE_LONGITUD;ELE_LATITUD;ELE_COLOR;ELE_RADIO;ELE_INFO;ELE_ULTIMOCAMBIO;ELE_ULTIMOCAMBIO_USU_ID
1;SC000000001;;NULL;1;2011-01-01 00:00:00.000;NULL;170;2,065983;41,47662;#22DD22;20;RUTA R3A;NULL;NULL
2;SC000000002;;NULL;2;2011-01-01 00:00:00.000;NULL;170;2,068571;41,47731;#22DD22;20;RUTA R3C;NULL;NULL
3;SC000000003;;NULL;3;2011-01-01 00:00:00.000;NULL;170;2,058171;41,46426;#22DD22;20;RUTA R3A;NULL;NULL
4;SC000000004;;NULL;4;2011-01-01 00:00:00.000;NULL;170;2,05952;41,46452;#22DD22;20;RUTA R3C;NULL;NULL
5;SC000000005;;NULL;5;2011-01-01 00:00:00.000;NULL;170;2,062084;41,46376;#22DD22;20;RUTA R3C;NULL;NULL
6;SC000000006;;NULL;6;2011-01-01 00:00:00.000;NULL;170;2,063481;41,46331;#22DD22;20;RUTA R3A;NULL;NULL
7;SC000000007;;NULL;7;2011-01-01 00:00:00.000;NULL;170;2,061429;41,46455;#22DD22;20;RUTA R3C;NULL;NULL
8;SC000000008;;NULL;8;2011-01-01 00:00:00.000;NULL;170;2,062434;41,46495;#22DD22;20;RUTA R3B;NULL;NULL
9;SC000000009;;NULL;9;2011-01-01 00:00:00.000;NULL;170;2,061972;41,4659;#22DD22;20;RUTA R3C;NULL;NULL
10;SC000000010;;NULL;10;2011-01-01 00:00:00.000;NULL;170;2,05845;41,46489;#22DD22;20;RUTA R3B;NULL;NULL
11;SC000000011;;NULL;11;2011-01-01 00:00:00.000;NULL;170;2,061007;41,46619;#22DD22;20;RUTA R3B;NULL;NULL
12;SC000000012;;NULL;12;2011-01-01 00:00:00.000;NULL;170;2,061822;41,46641;#22DD22;20;RUTA R3A;NULL;NULL
13;SC000000013;;NULL;13;2011-01-01 00:00:00.000;NULL;170;2,062397;41,46306;#22DD22;20;RUTA R3C;NULL;NULL
14;SC000000014;;NULL;14;2011-01-01 00:00:00.000;NULL;170;2,059583;41,46412;#22DD22;20;RUTA R3C;NULL;NULL
15;SC000000015;;NULL;15;2011-01-01 00:00:00.000;NULL;170;2,058694;41,46416;#22DD22;20;RUTA R3C;NULL;NULL
16;SC000000016;;NULL;16;2011-01-01 00:00:00.000;NULL;170;2,059134;41,46331;#22DD22;20;RUTA R3C;NULL;NULL
17;SC000000017;;NULL;17;2011-01-01 00:00:00.000;NULL;170;2,061173;41,46283;#22DD22;20;RUTA R3C;NULL;NULL
18;SC000000018;;NULL;18;2011-01-01 00:00:00.000;NULL;170;2,062448;41,46242;#22DD22;20;RUTA R3C;NULL;NULL
19;SC000000019;;NULL;19;2011-01-01 00:00:00.000;NULL;170;2,063736;41,46179;#22DD22;20;RUTA R3C;NULL;NULL
20;SC000000020;;NULL;20;2011-01-01 00:00:00.000;NULL;170;2,064478;41,46225;#22DD22;20;RUTA R3C;NULL;NULL
21;SC000000021;;NULL;21;2011-01-01 00:00:00.000;NULL;170;2,063936;41,46111;#22DD22;20;RUTA R3C;NULL;NULL
22;SC000000022;;NULL;22;2011-01-01 00:00:00.000;NULL;170;2,064094;41,47167;#22DD22;20;RUTA R3B;NULL;NULL
23;SC000000023;;NULL;23;2011-01-01 00:00:00.000;NULL;170;2,061493;41,47289;#22DD22;20;RUTA R3C;NULL;NULL
24;SC000000024;;NULL;24;2011-01-01 00:00:00.000;NULL;170;2,06785;41,47329;#22DD22;20;RUTA R3B;NULL;NULL
25;SC000000025;;NULL;25;2011-01-01 00:00:00.000;NULL;170;2,067467;41,47159;#22DD22;20;RUTA R3C;NULL;NULL
26;SC000000026;;NULL;26;2011-01-01 00:00:00.000;NULL;170;2,065841;41,47065;#22DD22;20;RUTA R3C;NULL;NULL
27;SC000000027;;NULL;27;2011-01-01 00:00:00.000;NULL;170;2,065844;41,47216;#22DD22;20;RUTA R3C;NULL;NULL
28;SC000000028;;NULL;28;2011-01-01 00:00:00.000;NULL;170;2,06568;41,473;#22DD22;20;RUTA R3C;NULL;NULL
29;SC000000029;;NULL;29;2011-01-01 00:00:00.000;NULL;170;2,069548;41,47009;#22DD22;20;RUTA R3C;NULL;NULL
30;SC000000030;;NULL;30;2011-01-01 00:00:00.000;NULL;170;2,066324;41,46884;#22DD22;20;RUTA R3C;NULL;NULL
31;SC000000031;;NULL;31;2011-01-01 00:00:00.000;NULL;170;2,063073;41,46948;#22DD22;20;RUTA R3A;NULL;NULL
32;SC000000032;;NULL;32;2011-01-01 00:00:00.000;NULL;170;2,050319;41,47197;#22DD22;20;RUTA R3C;NULL;NULL
33;SC000000033;;NULL;33;2011-01-01 00:00:00.000;NULL;170;2,050024;41,47287;#22DD22;20;RUTA R3C;NULL;NULL
34;SC000000034;;NULL;34;2011-01-01 00:00:00.000;NULL;170;2,05043;41,47438;#22DD22;20;RUTA R3B;NULL;NULL
35;SC000000035;;NULL;35;2011-01-01 00:00:00.000;NULL;170;2,045881;41,4715;#22DD22;20;RUTA R3C;NULL;NULL
36;SC000000036;;NULL;36;2011-01-01 00:00:00.000;NULL;170;2,045298;41,47017;#22DD22;20;RUTA R3C;NULL;NULL
37;SC000000037;;NULL;37;2011-01-01 00:00:00.000;NULL;170;2,04422;41,4697;#22DD22;20;RUTA R3C;NULL;NULL
38;SC000000038;;NULL;38;2011-01-01 00:00:00.000;NULL;170;2,042751;41,46926;#22DD22;20;RUTA R3C;NULL;NULL
39;SC000000039;;NULL;39;2011-01-01 00:00:00.000;NULL;170;2,04319;41,46881;#22DD22;20;RUTA R3A;NULL;NULL
40;SC000000040;;NULL;40;2011-01-01 00:00:00.000;NULL;170;2,044954;41,46942;#22DD22;20;RUTA R3B;NULL;NULL
41;SC000000041;;NULL;41;2011-01-01 00:00:00.000;NULL;170;2,045153;41,46895;#22DD22;20;RUTA R3C;NULL;NULL
42;SC000000042;;NULL;42;2011-01-01 00:00:00.000;NULL;170;2,046661;41,47058;#22DD22;20;RUTA R3C;NULL;NULL
43;SC000000043;;NULL;43;2011-01-01 00:00:00.000;NULL;170;2,043847;41,46846;#22DD22;20;RUTA R3C;NULL;NULL
44;SC000000044;;NULL;44;2011-01-01 00:00:00.000;NULL;170;2,047286;41,46956;#22DD22;20;RUTA R3C;NULL;NULL
45;SC000000045;;NULL;45;2011-01-01 00:00:00.000;NULL;170;2,048055;41,46991;#22DD22;20;RUTA R3C;NULL;NULL
46;SC000000046;;NULL;46;2011-01-01 00:00:00.000;NULL;170;2,049075;41,47015;#22DD22;20;RUTA R3C;NULL;NULL
47;SC000000047;;NULL;47;2011-01-01 00:00:00.000;NULL;170;2,049459;41,46896;#22DD22;20;RUTA R3A;NULL;NULL
48;SC000000048;;NULL;48;2011-01-01 00:00:00.000;NULL;170;2,048324;41,46869;#22DD22;20;RUTA R3C;NULL;NULL
49;SC000000049;;NULL;49;2011-01-01 00:00:00.000;NULL;170;2,045572;41,4679;#22DD22;20;RUTA R3C;NULL;NULL
50;SC000000050;;NULL;50;2011-01-01 00:00:00.000;NULL;170;2,044368;41,46755;#22DD22;20;RUTA R3C;NULL;NULL
51;SC000000051;;NULL;51;2011-01-01 00:00:00.000;NULL;170;2,044368;41,46755;#22DD22;20;RUTA R3C;NULL;NULL
52;SC000000052;;NULL;52;2011-01-01 00:00:00.000;NULL;170;2,042994;41,46696;#22DD22;20;RUTA R3C;NULL;NULL
53;SC000000053;;NULL;53;2011-01-01 00:00:00.000;NULL;170;2,04897;41,46636;#22DD22;20;RUTA R3C;NULL;NULL
54;SC000000054;;NULL;54;2011-01-01 00:00:00.000;NULL;170;2,050199;41,46748;#22DD22;20;RUTA R3B;NULL;NULL
55;SC000000055;;NULL;55;2011-01-01 00:00:00.000;NULL;170;2,051872;41,467;#22DD22;20;RUTA R3B;NULL;NULL
56;SC000000056;;NULL;56;2011-01-01 00:00:00.000;NULL;170;2,053083;41,46561;#22DD22;20;RUTA R3C;NULL;NULL
57;SC000000057;;NULL;57;2011-01-01 00:00:00.000;NULL;170;2,054488;41,46479;#22DD22;20;RUTA R3C;NULL;NULL
58;SC000000058;;NULL;58;2011-01-01 00:00:00.000;NULL;170;2,055833;41,46521;#22DD22;20;RUTA R3A;NULL;NULL
59;SC000000059;;NULL;59;2011-01-01 00:00:00.000;NULL;170;2,054402;41,46525;#22DD22;20;RUTA R3C;NULL;NULL
60;SC000000060;;NULL;60;2011-01-01 00:00:00.000;NULL;170;2,055957;41,46577;#22DD22;20;RUTA R3B;NULL;NULL
