XCE_ID;XCE_CAT_ID;XCE_ELE_ID;XCE_FECHA_DESDE;XCE_FECHA_HASTA
2552;1;2548;2014-01-21 08:24:56.000;2014-01-21 08:24:56.000
2553;1;2549;2014-01-21 08:26:30.000;2014-01-21 08:26:30.000
1504;2;1504;2011-01-01 00:00:00.000;NULL
1505;2;1505;2011-01-01 00:00:00.000;NULL
1506;2;1506;2011-01-01 00:00:00.000;NULL
1507;2;1507;2011-01-01 00:00:00.000;NULL
1508;2;1508;2011-01-01 00:00:00.000;NULL
1509;2;1509;2011-01-01 00:00:00.000;NULL
1510;2;1510;2011-01-01 00:00:00.000;NULL
1511;2;1511;2011-01-01 00:00:00.000;NULL
1512;2;1512;2011-01-01 00:00:00.000;NULL
1513;2;1513;2011-01-01 00:00:00.000;NULL
1514;2;1514;2011-01-01 00:00:00.000;NULL
1515;2;1515;2011-01-01 00:00:00.000;NULL
1516;2;1516;2011-01-01 00:00:00.000;NULL
1517;2;1517;2011-01-01 00:00:00.000;NULL
1518;2;1518;2011-01-01 00:00:00.000;NULL
1519;2;1519;2011-01-01 00:00:00.000;NULL
1520;2;1520;2011-01-01 00:00:00.000;NULL
1521;2;1521;2011-01-01 00:00:00.000;NULL
1522;2;1522;2011-01-01 00:00:00.000;NULL
1523;2;1523;2011-01-01 00:00:00.000;NULL
1524;2;1524;2011-01-01 00:00:00.000;NULL
1525;2;1525;2011-01-01 00:00:00.000;NULL
1526;2;1526;2011-01-01 00:00:00.000;NULL
1527;2;1527;2011-01-01 00:00:00.000;NULL
1528;2;1528;2011-01-01 00:00:00.000;NULL
1529;2;1529;2011-01-01 00:00:00.000;NULL
1530;2;1530;2011-01-01 00:00:00.000;NULL
1531;2;1531;2011-01-01 00:00:00.000;NULL
1532;2;1532;2011-01-01 00:00:00.000;NULL
1533;2;1533;2011-01-01 00:00:00.000;NULL
1534;2;1534;2011-01-01 00:00:00.000;NULL
1535;2;1535;2011-01-01 00:00:00.000;NULL
1536;2;1536;2011-01-01 00:00:00.000;NULL
1537;2;1537;2011-01-01 00:00:00.000;NULL
1538;2;1538;2011-01-01 00:00:00.000;NULL
1539;2;1539;2011-01-01 00:00:00.000;NULL
1540;2;1540;2011-01-01 00:00:00.000;NULL
1541;2;1541;2011-01-01 00:00:00.000;NULL
1542;2;1542;2011-01-01 00:00:00.000;NULL
1543;2;1543;2011-01-01 00:00:00.000;NULL
1544;2;1544;2011-01-01 00:00:00.000;NULL
1545;2;1545;2011-01-01 00:00:00.000;NULL
1546;2;1546;2011-01-01 00:00:00.000;NULL
1547;2;1547;2011-01-01 00:00:00.000;NULL
1548;2;1548;2011-01-01 00:00:00.000;NULL
1549;2;1549;2011-01-01 00:00:00.000;NULL
1550;2;1550;2011-01-01 00:00:00.000;NULL
1551;2;1551;2011-01-01 00:00:00.000;NULL
1552;2;1552;2011-01-01 00:00:00.000;NULL
1553;2;1553;2011-01-01 00:00:00.000;NULL
1554;2;1554;2011-01-01 00:00:00.000;NULL
1555;2;1555;2011-01-01 00:00:00.000;NULL
1556;2;1556;2011-01-01 00:00:00.000;NULL
1557;2;1557;2011-01-01 00:00:00.000;NULL
1558;2;1558;2011-01-01 00:00:00.000;NULL
1559;2;1559;2011-01-01 00:00:00.000;NULL
1560;2;1560;2011-01-01 00:00:00.000;NULL
