XET_ID;XET_ELE_ID;XET_TRA_ID;XET_FECHA_DESDE;XET_FECHA_HASTA;XET_OPE_ID_DESDE;XET_OPE_ID_HASTA
1;1;1245;2011-01-01 00:00:00.000;NULL;NULL;NULL
2;2;1244;2011-01-01 00:00:00.000;2013-08-01 00:00:00.000;NULL;NULL
3;3;309;2011-01-01 01:01:00.000;2015-01-24 00:00:00.000;NULL;NULL
4;4;397;2011-01-01 01:01:00.000;NULL;NULL;NULL
5;5;400;2011-01-01 01:01:00.000;NULL;NULL;NULL
6;6;401;2011-01-01 01:01:00.000;NULL;NULL;NULL
7;7;402;2011-01-01 01:01:00.000;2014-06-23 00:00:00.000;NULL;NULL
8;8;403;2011-01-01 01:01:00.000;NULL;NULL;NULL
9;9;404;2011-01-01 01:01:00.000;NULL;NULL;NULL
10;10;405;2011-01-01 01:01:00.000;NULL;NULL;NULL
11;11;468;2011-01-01 01:01:00.000;NULL;NULL;NULL
12;12;217;2011-01-01 01:01:00.000;NULL;NULL;NULL
13;13;392;2011-01-01 01:01:00.000;2013-11-23 00:00:00.000;NULL;NULL
14;14;396;2011-01-01 01:01:00.000;NULL;NULL;NULL
15;15;398;2011-01-01 01:01:00.000;NULL;NULL;NULL
16;16;395;2011-01-01 01:01:00.000;NULL;NULL;NULL
17;17;393;2011-01-01 01:01:00.000;NULL;NULL;NULL
18;18;394;2011-01-01 01:01:00.000;2013-08-23 00:00:00.000;NULL;NULL
19;19;390;2011-01-01 01:01:00.000;NULL;NULL;NULL
20;20;391;2011-01-01 01:01:00.000;NULL;NULL;NULL
21;21;388;2011-01-01 01:01:00.000;NULL;NULL;NULL
22;22;212;2011-01-01 01:01:00.000;NULL;NULL;NULL
23;23;208;2011-01-01 01:01:00.000;NULL;NULL;NULL
24;24;206;2011-01-01 01:01:00.000;NULL;NULL;NULL
25;25;207;2011-01-01 01:01:00.000;NULL;NULL;NULL
26;26;209;2011-01-01 01:01:00.000;NULL;NULL;NULL
27;27;210;2011-01-01 01:01:00.000;2014-03-13 11:00:00.000;NULL;NULL
28;28;211;2011-01-01 01:01:00.000;NULL;NULL;NULL
29;29;1385;2011-01-01 01:01:00.000;NULL;NULL;NULL
30;30;214;2011-01-01 01:01:00.000;NULL;NULL;NULL
31;31;213;2011-01-01 01:01:00.000;2013-06-25 00:00:00.000;NULL;NULL
32;32;286;2011-01-01 01:01:00.000;NULL;NULL;NULL
33;33;288;2011-01-01 01:01:00.000;2014-07-14 12:00:00.000;NULL;NULL
34;34;299;2011-01-01 01:01:00.000;NULL;NULL;NULL
35;35;287;2011-01-01 01:01:00.000;NULL;NULL;NULL
36;36;1797;2011-01-01 01:01:00.000;NULL;NULL;NULL
37;37;277;2011-01-01 01:01:00.000;NULL;NULL;NULL
38;38;278;2011-01-01 01:01:00.000;NULL;NULL;NULL
39;39;279;2011-01-01 01:01:00.000;NULL;NULL;NULL
40;40;280;2011-01-01 01:01:00.000;NULL;NULL;NULL
41;41;276;2011-01-01 01:01:00.000;NULL;NULL;NULL
42;42;281;2011-01-01 01:01:00.000;2014-05-03 14:00:00.000;NULL;NULL
43;43;275;2013-02-16 06:49:00.000;NULL;NULL;NULL
44;44;282;2011-01-01 01:01:00.000;NULL;NULL;NULL
45;45;283;2011-01-01 01:01:00.000;NULL;NULL;NULL
46;46;284;2011-01-01 01:01:00.000;NULL;NULL;NULL
47;47;254;2011-01-01 01:01:00.000;NULL;NULL;NULL
48;48;255;2011-01-01 01:01:00.000;NULL;NULL;NULL
49;49;269;2011-01-01 01:01:00.000;NULL;NULL;NULL
50;50;271;2011-01-01 01:01:00.000;NULL;NULL;NULL
51;51;270;2011-01-01 01:01:00.000;NULL;NULL;NULL
52;52;260;2011-01-01 01:01:00.000;NULL;NULL;NULL
53;53;265;2011-01-01 01:01:00.000;NULL;NULL;NULL
54;54;266;2011-01-01 01:01:00.000;NULL;NULL;NULL
55;55;246;2011-01-01 01:01:00.000;NULL;NULL;NULL
56;56;240;2011-01-01 01:01:00.000;NULL;NULL;NULL
57;57;238;2011-01-01 01:01:00.000;NULL;NULL;NULL
58;58;237;2011-01-01 01:01:00.000;NULL;NULL;NULL
59;59;239;2011-01-01 01:01:00.000;NULL;NULL;NULL
60;60;294;2011-01-01 01:01:00.000;NULL;NULL;NULL
61;61;295;2011-01-01 01:01:00.000;NULL;NULL;NULL
62;62;219;2011-01-01 01:01:00.000;NULL;NULL;NULL
63;63;218;2011-01-01 01:01:00.000;NULL;NULL;NULL
64;64;466;2011-01-01 01:01:00.000;NULL;NULL;NULL
65;65;467;2011-01-01 01:01:00.000;NULL;NULL;NULL
66;66;235;2011-01-01 01:01:00.000;NULL;NULL;NULL
67;67;236;2011-01-01 01:01:00.000;NULL;NULL;NULL
68;68;248;2011-01-01 01:01:00.000;NULL;NULL;NULL
69;69;249;2011-01-01 01:01:00.000;NULL;NULL;NULL
70;70;245;2011-01-01 01:01:00.000;NULL;NULL;NULL
71;71;296;2013-02-14 07:51:00.000;NULL;NULL;NULL
72;72;226;2011-01-01 01:01:00.000;NULL;NULL;NULL
73;73;234;2011-01-01 01:01:00.000;NULL;NULL;NULL
74;74;233;2011-01-01 01:01:00.000;NULL;NULL;NULL
75;75;223;2011-01-01 01:01:00.000;NULL;NULL;NULL
76;76;220;2011-01-01 01:01:00.000;2014-01-24 00:00:00.000;NULL;NULL
77;77;221;2011-01-01 01:01:00.000;NULL;NULL;NULL
78;78;222;2011-01-01 01:01:00.000;NULL;NULL;NULL
79;79;224;2011-01-01 01:01:00.000;NULL;NULL;NULL
80;80;225;2011-01-01 01:01:00.000;NULL;NULL;NULL
81;81;228;2013-02-14 07:54:00.000;NULL;NULL;NULL
82;82;227;2011-01-01 01:01:00.000;NULL;NULL;NULL
83;83;230;2011-01-01 01:01:00.000;NULL;NULL;NULL
84;84;232;2011-01-01 01:01:00.000;NULL;NULL;NULL
85;85;250;2011-01-01 01:01:00.000;NULL;NULL;NULL
86;86;252;2011-01-01 01:01:00.000;NULL;NULL;NULL
87;87;285;2011-01-01 01:01:00.000;NULL;NULL;NULL
88;88;231;2011-01-01 01:01:00.000;2014-08-04 00:00:00.000;NULL;NULL
89;89;251;2011-01-01 01:01:00.000;NULL;NULL;NULL
90;90;253;2011-01-01 01:01:00.000;NULL;NULL;NULL
91;91;229;2011-01-01 01:01:00.000;NULL;NULL;NULL
92;92;268;2011-01-01 01:01:00.000;NULL;NULL;NULL
93;93;267;2011-01-01 01:01:00.000;NULL;NULL;NULL
94;94;257;2011-01-01 01:01:00.000;NULL;NULL;NULL
95;95;258;2011-01-01 01:01:00.000;2014-10-28 00:00:00.000;NULL;NULL
96;96;259;2011-01-01 01:01:00.000;NULL;NULL;NULL
97;97;264;2011-01-01 01:01:00.000;NULL;NULL;NULL
98;98;272;2011-01-01 01:01:00.000;NULL;NULL;NULL
99;99;263;2011-01-01 01:01:00.000;NULL;NULL;NULL
100;100;256;2011-01-01 01:01:00.000;2014-08-11 00:00:00.000;NULL;NULL
101;101;262;2011-01-01 01:01:00.000;NULL;NULL;NULL
102;102;261;2011-01-01 01:01:00.000;NULL;NULL;NULL
